boilerSize,radiatorType,radiator,toilet,toileType,washbasin,washbasinType,bathhub,bathhubType,showerCabin,showerCabinType,Bidet,BidetType,waterHeater,waterHeaterType,sinkTypeQuality,sinkCategorie,cost,time
small,COPA_Aluminium,13,3,Basic-Ceramic,3,Pedestal,1,Luxury,1,Luxury_Enclosure,2,Bidet-Mixer-Tap,2,GAS-6liters,poor,double,726622,74
big,FONDITAL_ARDENTE_C2,5,2,One-Piece,3,Wall-Mounted,0,Standard,2,Basic_Enclosure,0,Wall-Hung,2,GAS-6liters,poor,double,482393,34
big,Samochauf_SAHD,7,0,Basic-Ceramic,0,Countertop,2,Luxury,2,Luxury_Enclosure,1,Wall-Hung,2,Electric-50liters,high,single,670666,56
big,Samochauf_SAHD,1,1,One-Piece,3,Wall-Mounted,2,Luxury,0,Luxury_Enclosure,1,Bidet-Mixer-Tap,2,GAS-11liters,poor,single,357482,26
small,Sira_Alice_Royal,7,2,One-Piece,2,Countertop,2,Standard,1,Luxury_Enclosure,1,Bidet-Ceramic,1,Electric-50liters,poor,double,622022,50
big,Helyos_Evo,2,1,Basic-Ceramic,1,Pedestal,0,Standard,2,Basic_Enclosure,2,Wall-Hung,2,GAS-11liters,poor,single,379785,28
big,COPA_Aluminium,2,3,Basic-Ceramic,1,Pedestal,2,Standard,2,Basic_Enclosure,0,Wall-Hung,0,Electric-50liters,poor,single,301834,25
small,GLOBAL_ISEO_350,4,3,One-Piece,2,Pedestal,1,Standard,1,Luxury_Enclosure,0,Wall-Hung,2,GAS-6liters,high,single,753646,39
small,Helyos_Evo,3,2,One-Piece,3,Wall-Mounted,1,Luxury,1,Luxury_Enclosure,1,Wall-Hung,0,Electric-50liters,poor,single,417676,37
small,Sira_Alice_Royal,2,0,Basic-Ceramic,2,Pedestal,2,Standard,0,Basic_Enclosure,1,Bidet-Mixer-Tap,0,GAS-6liters,high,double,185187,17
small,COPA_Aluminium,12,0,Wall-Hung,2,Countertop,2,Luxury,2,Basic_Enclosure,2,Bidet-Mixer-Tap,2,GAS-11liters,poor,single,763288,74
medium,Sira_Alice_Royal,3,2,Wall-Hung,1,Wall-Mounted,1,Standard,0,Luxury_Enclosure,2,Bidet-Mixer-Tap,1,GAS-6liters,high,double,298725,24
big,FONDITAL_ARDENTE_C2,3,0,Basic-Ceramic,2,Wall-Mounted,1,Standard,0,Basic_Enclosure,1,Bidet-Mixer-Tap,0,GAS-6liters,high,single,183471,16
medium,Primavera_H500,7,2,One-Piece,1,Pedestal,2,Standard,0,Luxury_Enclosure,0,Wall-Hung,2,GAS-6liters,poor,single,448586,40
big,Primavera_H500,15,0,Basic-Ceramic,3,Pedestal,2,Standard,2,Basic_Enclosure,0,Bidet-Ceramic,1,GAS-6liters,high,single,810650,73
big,Primavera_H500,15,3,One-Piece,2,Pedestal,2,Standard,2,Basic_Enclosure,2,Wall-Hung,2,GAS-6liters,poor,single,907541,84
